lg	pos	pc	chi_squared	neg_log_p_value
scaffold4	814082	PC6	30.0828151702881	17.000024716154265
scaffold4	814116	PC6	30.7406806945801	17.33915754607636
scaffold4	814323	PC6	28.3742980957031	16.11825616264732
scaffold4	814353	PC6	26.6362247467041	15.219579690985286
scaffold4	814428	PC6	26.6510124206543	15.227233303808276
scaffold4	814455	PC6	25.1049308776855	14.42626981143075
scaffold4	818438	PC6	26.7753086090088	15.291559570797222
scaffold4	820590	PC6	27.9439144134521	15.895887754329676
scaffold4	820954	PC6	26.2193222045898	15.003748244304797
scaffold4	821129	PC6	25.1485939025879	14.448911800977681
scaffold4	821535	PC6	27.2844676971436	15.554963372935653
scaffold4	822022	PC6	26.6522541046143	15.227875952468438
scaffold4	822597	PC6	27.7780952453613	15.81018530119685
scaffold4	822608	PC6	26.1494846343994	14.967582382760387
scaffold4	822791	PC6	28.1264820098877	15.990228485578985
scaffold4	822806	PC6	26.2577018737793	15.023622088039087
scaffold4	822904	PC6	31.0994205474854	17.52400284268308
scaffold4	822929	PC6	28.8125610351562	16.344590730888815
scaffold4	822942	PC6	29.018871307373	16.45110092794475
scaffold4	822946	PC6	29.1159152984619	16.501193285815656
scaffold4	822976	PC6	26.7915859222412	15.299982766502431
scaffold4	823033	PC6	25.2741050720215	14.513989802077969
scaffold4	823131	PC6	25.9997329711914	14.890021870658535
scaffold4	823584	PC6	27.9668254852295	15.907727948265602
scaffold4	823613	PC6	28.7333488464355	16.30369043541801
scaffold4	823630	PC6	28.0554866790771	15.95354429785064
scaffold4	825471	PC6	31.239200592041	17.596010098629804
scaffold4	825502	PC6	30.750358581543	17.344144995168215
scaffold4	825594	PC6	30.9772090911865	17.461038583168673
scaffold4	826108	PC6	24.9967346191406	14.370157618649678
scaffold4	826168	PC6	25.5628147125244	14.663645970538985
scaffold4	826213	PC6	29.2349643707275	16.562637524129073
scaffold4	826246	PC6	30.9820594787598	17.463537670420777
scaffold4	826325	PC6	30.4907054901123	17.21031871202288
scaffold4	829373	PC6	29.1208839416504	16.50375787596579
scaffold4	829957	PC6	31.3492069244385	17.652673212654552
scaffold4	830004	PC6	32.3189697265625	18.15195333769719
scaffold4	830499	PC6	26.7161483764648	15.260943917327333
scaffold4	830909	PC6	27.6387825012207	15.738170320631681
scaffold4	831610	PC6	30.3799667358398	17.153233669686774
scaffold4	833038	PC6	27.0442352294922	15.43070316350765
scaffold4	834040	PC6	26.1674900054932	14.976906886349271
scaffold4	835984	PC6	26.5811290740967	15.191062788139764
scaffold4	836047	PC6	28.370454788208	16.116270878395238
scaffold4	836210	PC6	26.5257244110107	15.162384046873926
scaffold4	836759	PC6	26.4947757720947	15.146363476122914
scaffold4	843167	PC6	32.0491600036621	18.01308405190547
scaffold4	846087	PC6	27.4939041137695	15.66326636967579
scaffold4	846499	PC6	31.4395732879639	17.699215853004898
scaffold4	847221	PC6	27.6872024536133	15.763201330498518
scaffold4	847392	PC6	27.5257778167725	15.679746524178062
scaffold4	849098	PC6	26.2066593170166	14.99719091371314
scaffold4	849364	PC6	26.2018184661865	14.994684107843764
scaffold4	849727	PC6	26.066032409668	14.924361965154604
scaffold4	849920	PC6	24.9649868011475	14.353691174482494
scaffold4	852410	PC6	26.3625164031982	15.077892595345595
scaffold4	853721	PC6	25.4331817626953	14.596456139689757
scaffold4	853805	PC6	29.0337505340576	16.458781639050923
scaffold4	854024	PC6	25.7928066253662	14.782824993792161
scaffold4	854086	PC6	27.13010597229	15.475123761637029
scaffold4	855100	PC6	26.7894172668457	15.298860538953504
scaffold4	855103	PC6	27.4029750823975	15.616248653204885
scaffold4	855360	PC6	29.7344627380371	16.820361514561444
scaffold4	855839	PC6	27.1055355072021	15.462414009325176
scaffold4	860456	PC6	33.2462768554688	18.628996486402247
scaffold4	860601	PC6	30.5477447509766	17.239719741653904
scaffold4	863618	PC6	26.7770977020264	15.292485400057338
scaffold4	889617	PC6	25.1932964324951	14.472091471456986
scaffold4	889623	PC6	27.5982131958008	15.71719670934837
scaffold4	890489	PC6	27.8106575012207	15.827016109289376
scaffold4	890682	PC6	28.4170970916748	16.14036369859757
scaffold4	891272	PC6	27.3849849700928	15.6069457237691
scaffold4	892222	PC6	25.2689876556396	14.511336614693054
scaffold4	893016	PC6	28.1611804962158	16.00815660581652
scaffold4	893591	PC6	26.0334758758545	14.907499517277314
scaffold4	893608	PC6	28.6827983856201	16.277587528465066
scaffold4	894620	PC6	26.0010643005371	14.890711466789472
scaffold4	894842	PC6	27.1022491455078	15.460714020260564
scaffold4	894982	PC6	30.0299777984619	16.972777656071926
scaffold4	895811	PC6	26.5324096679688	15.165844593152173
scaffold4	895863	PC6	25.2816390991211	14.517895877843271
scaffold4	896657	PC6	25.7909145355225	14.781844678936455
scaffold4	896769	PC6	26.215763092041	15.001905209461526
scaffold4	896773	PC6	27.1547222137451	15.487856829741832
scaffold4	897007	PC6	27.9202041625977	15.883634240228297
scaffold4	897019	PC6	27.6470890045166	15.742464518337782
scaffold4	897058	PC6	25.3213882446289	14.538503493467394
scaffold4	897406	PC6	28.1304168701172	15.992261595008271
scaffold4	897795	PC6	31.1786861419678	17.564837373328235
scaffold4	897807	PC6	25.201150894165	14.476164114696392
scaffold4	898188	PC6	32.4784164428711	18.234004756108106
scaffold4	901545	PC6	25.5448513031006	14.65433606242591
scaffold4	902839	PC6	28.0067729949951	15.928371678587816
scaffold4	902979	PC6	29.7750072479248	16.84127551557443
scaffold4	903399	PC6	25.5769844055176	14.670989553980732
scaffold4	903450	PC6	26.8665065765381	15.338750665844
scaffold4	903749	PC6	26.4466190338135	15.121433933541622
scaffold4	903816	PC6	25.2022380828857	14.476727833230216
scaffold4	905757	PC6	28.6959896087646	16.284399256253824
scaffold4	909190	PC6	28.7421035766602	16.30821100500628
scaffold4	909936	PC6	25.664623260498	14.716406270553243
scaffold4	910008	PC6	27.9208717346191	15.883979247310537
scaffold4	910079	PC6	26.6110019683838	15.206524897843433
scaffold4	910094	PC6	25.4697399139404	14.61540568015206
scaffold4	910667	PC6	25.1130619049072	14.430486354168833
scaffold4	915985	PC6	25.5622100830078	14.663332612301287
scaffold4	916152	PC6	28.2748641967773	16.06689034381112
scaffold4	916164	PC6	25.1317138671875	14.440158611126849
scaffold4	917849	PC6	29.6191062927246	16.760852868385523
scaffold4	919195	PC6	25.7125988006592	14.741266264830765
scaffold4	920952	PC6	27.8308792114258	15.837468020086645
scaffold4	2823668	PC2	27.7161293029785	15.778154608186433
scaffold4	2823668	PC3	26.2881126403809	15.039368789843738
scaffold4	2823670	PC2	27.827808380127	15.835880827493023
scaffold4	2823670	PC3	26.4141788482666	15.104639636073234
scaffold4	2823927	PC2	25.3304805755615	14.54321718525656
scaffold4	2962682	PC9	25.7390747070312	14.754984911270896
scaffold4	2979135	PC9	44.2234077453613	24.25358115361053
scaffold4	2979345	PC9	36.0985488891602	20.094196058879703
scaffold4	2979370	PC9	35.9534683227539	20.01974100816459
scaffold4	2979594	PC9	34.5745658874512	19.31171435083695
scaffold4	2979857	PC9	43.0852165222168	23.671985799875465
scaffold4	2979894	PC9	35.9375762939453	20.011584799745858
scaffold4	2979959	PC9	41.7482299804688	22.988399301111976
scaffold4	2980097	PC9	36.7914276123047	20.44967978554094
scaffold4	2980109	PC9	38.2454032897949	21.195129536836458
scaffold4	2980175	PC9	28.262845993042	16.06068157868743
scaffold4	2980288	PC9	28.316801071167	16.088554868163488
scaffold4	2980504	PC9	31.216854095459	17.584498975402028
scaffold4	2980877	PC9	30.4949188232422	17.21249053660969
scaffold4	2980939	PC9	32.7814598083496	18.389921361757878
scaffold4	2981030	PC9	42.512149810791	23.379039431419713
scaffold4	2981426	PC9	39.4637565612793	21.819266547724368
scaffold4	2981549	PC9	28.999137878418	16.440914282235564
scaffold4	2981574	PC9	35.1758804321289	19.620557298100866
scaffold4	2981618	PC9	30.1387157440186	17.028849901228824
scaffold4	2981634	PC9	38.8196449279785	21.489357353102722
scaffold4	2982129	PC9	32.5889129638672	18.290860008171858
scaffold4	2982292	PC9	36.4171180725098	20.25765937976027
scaffold4	2982325	PC9	40.2181854248047	22.205524563651387
scaffold4	2982336	PC9	40.0289535522461	22.108655470905326
scaffold4	2982754	PC9	33.4130859375	18.71477188047851
scaffold4	2982761	PC9	32.8327178955078	18.416289968038647
scaffold4	2982831	PC9	32.5151634216309	18.252913241221073
scaffold4	2982871	PC9	31.2833557128906	17.618754603623028
scaffold4	2983223	PC9	37.0017509460449	20.55755469387935
scaffold4	2983395	PC9	46.7833824157715	25.560579368244248
scaffold4	2983425	PC9	30.0405406951904	16.978224818900404
scaffold4	2983519	PC9	34.1821441650391	19.1100879746299
scaffold4	2983624	PC9	41.2310752868652	22.72385901295096
scaffold4	2983861	PC9	36.3477439880371	20.222065374917566
scaffold4	2984043	PC9	37.7483673095703	20.940376960548075
scaffold4	2984144	PC9	36.6584777832031	20.38148206753763
scaffold4	2985759	PC9	39.933048248291	22.059557265958762
scaffold4	2985788	PC9	33.9909782409668	19.011845427557652
scaffold4	2985835	PC9	36.628044128418	20.36587006908665
scaffold4	2987415	PC9	25.5999240875244	14.68287798548288
scaffold4	2988666	PC9	30.2505645751953	17.086520257946166
scaffold4	2996816	PC9	27.9639301300049	15.90623167672664
scaffold4	2996899	PC9	28.8683128356934	16.373375511210938
scaffold4	2998998	PC9	41.7370185852051	22.982664477091692
scaffold4	2999327	PC9	43.3524322509766	23.808556064546366
scaffold4	2999413	PC9	41.7635612487793	22.996240954451054
scaffold4	3001296	PC9	26.0060787200928	14.893308803393154
scaffold4	3001484	PC9	44.0421524047852	24.16098326228
scaffold4	3001679	PC9	26.6562194824219	15.22992827535838
scaffold4	3001826	PC9	42.9324913024902	23.59392109406731
scaffold4	3002484	PC9	31.6943225860596	17.830403059467013
scaffold4	3002621	PC9	26.3297863006592	15.060946464486012
scaffold4	3003956	PC9	46.8640670776367	25.601759093054273
scaffold4	3003977	PC9	29.3645572662354	16.629515311802002
scaffold4	3004032	PC9	41.2226486206055	22.719547436373762
scaffold4	3004301	PC9	32.9226760864258	18.462564337814914
scaffold4	3005240	PC9	25.0365676879883	14.390816591790717
scaffold4	3006434	PC9	44.733699798584	24.514229770221796
scaffold4	3009061	PC9	25.0024604797363	14.373127340131132
scaffold4	3009656	PC9	27.1561164855957	15.488578023913558
scaffold4	3014537	PC9	26.9125957489014	15.36259793036222
scaffold4	3014545	PC9	26.3945045471191	15.094453918758045
scaffold4	3015454	PC9	29.4896030426025	16.694038291810887
scaffold4	3015460	PC9	33.1626358032227	18.585982910195185
scaffold4	3015837	PC9	33.0088500976562	18.506888991304447
scaffold4	3020487	PC9	35.5248947143555	19.79975463825626
scaffold4	3021685	PC9	25.241382598877	14.4970241249842
scaffold4	3021881	PC9	32.1123046875	18.045587037748618
scaffold4	3021924	PC9	32.4620513916016	18.225583787657346
scaffold4	3021940	PC9	28.7362613677979	16.30519434243957
scaffold4	3021947	PC9	28.3098430633545	16.084960439376978
scaffold4	3022008	PC9	24.9534759521484	14.347720739043435
scaffold4	3022038	PC9	26.406192779541	15.1005051430049
scaffold4	3022139	PC9	30.0109672546387	16.962974004175663
scaffold4	3022147	PC9	27.4555072784424	15.643412669232873
scaffold4	3022155	PC9	26.873779296875	15.342513772028457
scaffold4	3022185	PC9	28.8731822967529	16.375889546634507
scaffold4	3022262	PC9	24.9838676452637	14.363484070130408
scaffold4	3022300	PC9	28.1022567749023	15.97771131751839
scaffold4	3022305	PC9	25.8150215148926	14.794334622239699
scaffold4	3022325	PC9	25.8265380859375	14.800301278594217
scaffold4	3022394	PC9	29.9193992614746	16.91575028630728
scaffold4	3022452	PC9	32.7313423156738	18.36413845610292
scaffold4	3022484	PC9	28.6421890258789	16.256616942042836
scaffold4	3022586	PC9	33.1077003479004	18.557730028398524
scaffold4	3022599	PC9	32.5609817504883	18.27648867758065
scaffold4	3022650	PC9	37.9012641906738	21.0187515334129
scaffold4	3022699	PC9	33.022834777832	18.51408188397011
scaffold4	3022734	PC9	34.8116226196289	19.433485851566648
scaffold4	3022820	PC9	26.6409149169922	15.222007183405369
scaffold4	3023041	PC9	29.8737621307373	16.892212613080112
scaffold4	3023060	PC9	34.0649452209473	19.049859672935916
scaffold4	3023124	PC9	36.977668762207	20.54520365200216
scaffold4	3023140	PC9	28.5433673858643	16.205581925371625
scaffold4	3023256	PC9	34.7545967102051	19.404194658901382
scaffold4	3023314	PC9	36.8603477478027	20.48503059880885
scaffold4	3023364	PC9	39.3940238952637	21.78355573271309
scaffold4	3023448	PC9	36.3643341064453	20.2305774425058
scaffold4	3023486	PC9	29.1527137756348	16.520186701657117
scaffold4	3023510	PC9	32.1504325866699	18.06521208346271
scaffold4	3023686	PC9	38.6640777587891	21.40965833163198
scaffold4	3023688	PC9	39.302490234375	21.736678636025513
scaffold4	3023703	PC9	29.0330467224121	16.458418331668852
scaffold4	3023730	PC9	29.9444789886475	16.928684892804228
scaffold4	3023738	PC9	27.1240634918213	15.4719981549768
scaffold4	3023755	PC9	25.2800006866455	14.517046433332565
scaffold4	3023765	PC9	26.5707969665527	15.185714794276445
scaffold4	3023827	PC9	35.2366104125977	19.651741605059293
scaffold4	3023881	PC9	38.863109588623	21.511623665745194
scaffold4	3023916	PC9	36.5255088806152	20.313268639080903
scaffold4	3023937	PC9	34.4616241455078	19.253690886157994
scaffold4	3023984	PC9	31.3548336029053	17.65557130975968
scaffold4	3024006	PC9	36.2895317077637	20.192196841745062
scaffold4	3024017	PC9	34.3148384094238	19.178272907229854
scaffold4	3024061	PC9	37.3823204040527	20.75271173862666
scaffold4	3024070	PC9	37.2932052612305	20.707017469140247
scaffold4	3024217	PC9	28.6601600646973	16.265897258359495
scaffold4	3024252	PC9	33.9008827209473	18.96553927271612
scaffold4	3024263	PC9	33.2359085083008	18.623664581676035
scaffold4	3024392	PC9	30.6229648590088	17.27848975467782
scaffold4	3024499	PC9	31.369649887085	17.663202559790612
scaffold4	3024519	PC9	32.5895118713379	18.29116815401015
scaffold4	3024584	PC9	31.4211006164551	17.68970192158863
scaffold4	3024808	PC9	30.8804550170898	17.41118521925003
scaffold4	3024834	PC9	31.1677150726318	17.559185678248355
scaffold4	3024989	PC9	25.8895568847656	14.832949341109195
scaffold4	3025042	PC9	30.6412925720215	17.287935831126962
scaffold4	3025101	PC9	35.6869850158691	19.882963059771456
scaffold4	3025133	PC9	37.1063766479492	20.61121176266435
scaffold4	3025155	PC9	37.2641181945801	20.69210240486593
scaffold4	3025180	PC9	35.3247337341309	19.696989686087818
scaffold4	3025602	PC9	34.4379730224609	19.24153957557184
scaffold4	3025683	PC9	33.4831695556641	18.750806428219136
scaffold4	3025855	PC9	33.8252029418945	18.92663986268304
scaffold4	3025911	PC9	35.2332382202148	19.65001002769587
scaffold4	3025960	PC9	26.9948120117188	15.405134711527777
scaffold4	3026009	PC9	29.5975341796875	16.749723767794578
scaffold4	3026057	PC9	44.2101211547852	24.246794117675417
scaffold4	3026127	PC9	37.0194778442383	20.566646102417913
scaffold4	3026139	PC9	35.7072982788086	19.89339015727531
scaffold4	3026150	PC9	37.0567283630371	20.58575023851777
scaffold4	3026206	PC9	33.7288246154785	18.877098148989973
scaffold4	3026277	PC9	37.2717399597168	20.69601067526244
scaffold4	3026357	PC9	27.7680263519287	15.804980759209565
scaffold4	3026430	PC9	25.9103736877441	14.843733301478956
scaffold4	3026496	PC9	26.3609256744385	15.077069005250982
scaffold4	3026582	PC9	27.321834564209	15.574288287705683
scaffold4	3026598	PC9	25.1277084350586	14.438081554121466
scaffold4	3026724	PC9	37.4964179992676	20.81121197201518
scaffold4	3026736	PC9	32.1798400878906	18.080348169620045
scaffold4	3026751	PC9	34.5994338989258	19.324489553305654
scaffold4	3026757	PC9	30.7779712677002	17.35837480391121
scaffold4	3026785	PC9	30.5454978942871	17.238561623701496
scaffold4	3026807	PC9	29.1235694885254	16.50514403012627
scaffold4	3026839	PC9	28.46728515625	16.16628672734099
scaffold4	3026885	PC9	27.8925380706787	15.869335933863516
scaffold4	3026918	PC9	32.3537521362305	18.16985332739376
scaffold4	3026921	PC9	30.2204341888428	17.070985337379557
scaffold4	3027018	PC9	32.5558662414551	18.273856572716646
scaffold4	3027023	PC9	33.2211608886719	18.616080546525097
scaffold4	3027054	PC9	32.9809036254883	18.492514711978142
scaffold4	3027107	PC9	30.5441284179688	17.237855741352874
scaffold4	3027133	PC9	31.7162075042725	17.841671687955827
scaffold4	3027211	PC9	31.4463558197021	17.70270900934962
scaffold4	3027223	PC9	36.0340843200684	20.061113864889027
scaffold4	3027239	PC9	34.5186767578125	19.283002071975858
scaffold4	3027249	PC9	35.7733459472656	19.9272923417141
scaffold4	3027264	PC9	35.3859596252441	19.72842532230436
scaffold4	3027303	PC9	32.5544509887695	18.273128384556532
scaffold4	3027319	PC9	34.8318176269531	19.44385864327798
scaffold4	3027345	PC9	37.0423965454102	20.578400177951185
scaffold4	3027356	PC9	35.6172370910645	19.847159397099958
scaffold4	3027414	PC9	28.3466320037842	16.103964889639716
scaffold4	3027614	PC9	28.7277202606201	16.3007840521669
scaffold4	3027678	PC9	25.0267848968506	14.385742959799542
scaffold4	3029308	PC9	28.9764881134033	16.429221930835194
scaffold4	3029512	PC9	34.6350212097168	19.342771080262118
scaffold4	3029747	PC9	26.9154090881348	15.364053554236783
scaffold4	3029802	PC9	29.2612972259521	16.576227578707197
scaffold4	3029831	PC9	31.1680965423584	17.55938219517968
scaffold4	3029868	PC9	30.540771484375	17.236125436220405
scaffold4	3030344	PC9	24.9791202545166	14.361021772528055
scaffold4	3030489	PC9	27.4973220825195	15.6650336437113
scaffold4	3030558	PC9	33.748218536377	18.887067568416224
scaffold4	3030612	PC9	37.7056655883789	20.918486833235246
scaffold4	3030800	PC9	31.8518600463867	17.91151496085304
scaffold4	3032156	PC9	30.9504413604736	17.447246716785827
scaffold4	3032378	PC9	37.8505477905273	20.992755229563617
scaffold4	3032462	PC9	30.5147457122803	17.222710495668263
scaffold4	3032476	PC9	32.4251861572266	18.20661361534678
scaffold4	3032486	PC9	33.0814666748047	18.544237816573315
scaffold4	3032855	PC9	30.4807281494141	17.205175704297606
scaffold4	3032879	PC9	35.4571342468262	19.764967266942
scaffold4	3033201	PC9	28.2680358886719	16.06336275799167
scaffold4	3033329	PC9	35.7627639770508	19.921860730521065
scaffold4	3033399	PC9	28.1151561737061	15.98437647186018
scaffold4	3033451	PC9	27.7343788146973	15.787588156763194
scaffold4	3033556	PC9	27.2149639129639	15.519016096299636
scaffold4	3033571	PC9	25.2090625762939	14.480266384533211
scaffold4	3033592	PC9	27.6137962341309	15.72525297687495
scaffold4	3033604	PC9	28.0534954071045	15.952515340846213
scaffold4	3033743	PC9	38.0122528076172	21.075639441986006
scaffold4	3033828	PC9	31.711217880249	17.83910253108323
scaffold4	3033848	PC9	30.9711227416992	17.457902665613947
scaffold4	3033890	PC9	32.0757637023926	18.026778206083467
scaffold4	3033898	PC9	32.0990447998047	18.03876180840234
scaffold4	3033909	PC9	32.4238128662109	18.20590693589952
scaffold4	3033943	PC9	33.0770530700684	18.54196783077943
scaffold4	3033959	PC9	36.2142524719238	20.153569620589927
scaffold4	3033987	PC9	37.1686019897461	20.64312220921376
scaffold4	3034083	PC9	28.8532371520996	16.36559206569223
scaffold4	3034148	PC9	25.2325534820557	14.492446351560877
scaffold4	3034243	PC9	29.8821144104004	16.896520438231676
scaffold4	3034348	PC9	31.1099586486816	17.529431825209354
scaffold4	3034509	PC9	32.8451309204102	18.422675410749132
scaffold4	3034571	PC9	38.2356491088867	21.190130695850563
scaffold4	3034597	PC9	38.581184387207	21.367188080640354
scaffold4	3034769	PC9	31.4689464569092	17.71434352919313
scaffold4	3034911	PC9	44.6472091674805	24.470056244614195
scaffold4	3034970	PC9	43.6878395080566	23.9799539673918
scaffold4	3035106	PC9	36.4285125732422	20.263505492821587
scaffold4	3035216	PC9	37.5010986328125	20.813611779259848
scaffold4	3035292	PC9	38.5503158569336	21.351372025191683
scaffold4	3035302	PC9	37.2130928039551	20.665937207007243
scaffold4	3035343	PC9	42.8668746948242	23.56038091843084
scaffold4	3035489	PC9	38.0353393554688	21.087472032764634
scaffold4	3035512	PC9	30.03466796875	16.97519632862459
scaffold4	3035613	PC9	38.4651107788086	21.307714471080512
scaffold4	3035654	PC9	36.9870834350586	20.550032205143573
scaffold4	3035723	PC9	37.5707054138184	20.84929852792525
scaffold4	3035727	PC9	35.9953498840332	20.041235291898708
scaffold4	3035789	PC9	37.4120101928711	20.767934659584576
scaffold4	3035834	PC9	32.5983009338379	18.295690287135375
scaffold4	3035922	PC9	38.1270141601562	21.134456990862034
scaffold4	3035932	PC9	39.4920883178711	21.833774734418107
scaffold4	3035981	PC9	33.2703399658203	18.6413707454784
scaffold4	3035990	PC9	40.5704345703125	22.385815873889765
scaffold4	3035997	PC9	41.1562881469727	22.685596738614006
scaffold4	3036020	PC9	42.9847221374512	23.62062026815031
scaffold4	3036054	PC9	42.0602722167969	23.14798360698294
scaffold4	3036108	PC9	45.9159622192383	25.117885786786633
scaffold4	3036117	PC9	44.8911361694336	24.594631979933546
scaffold4	3036168	PC9	41.5862464904785	22.905547576637222
scaffold4	3036176	PC9	40.4732131958008	22.336058831504282
scaffold4	3036222	PC9	43.2531242370605	23.75780422518482
scaffold4	3036226	PC9	41.6492958068848	22.93779649725767
scaffold4	3036230	PC9	41.6465911865234	22.936413801858674
scaffold4	3036241	PC9	42.2792549133301	23.25996086351806
scaffold4	3036248	PC9	42.478931427002	23.362054889927943
scaffold4	3036285	PC9	42.7954292297363	23.523860013650353
scaffold4	3036320	PC9	44.1893501281738	24.23618320362411
scaffold4	3036339	PC9	44.9871406555176	24.64366148752488
scaffold4	3036354	PC9	41.1097259521484	22.661774416237424
scaffold4	3036386	PC9	39.9470481872559	22.06672448207161
scaffold4	3036478	PC9	40.4483947753906	22.32335611565171
scaffold4	3036664	PC9	48.001407623291	26.181951837272624
scaffold4	3036694	PC9	48.9354782104492	26.658267869317793
scaffold4	3036778	PC9	46.838550567627	25.58874064302933
scaffold4	3036907	PC9	36.6295547485352	20.36664502392265
scaffold4	3036989	PC9	36.2818183898926	20.188239082890963
scaffold4	3037004	PC9	25.0568809509277	14.401351410385567
scaffold4	3037034	PC9	39.8415069580078	22.012690380674957
scaffold4	3037040	PC9	37.6935729980469	20.912287699491532
scaffold4	3037058	PC9	40.3026847839355	22.248776753879383
scaffold4	3037101	PC9	42.994930267334	23.625837934464112
scaffold4	3037122	PC9	39.5413970947266	21.859025021743552
scaffold4	3037139	PC9	38.8565902709961	21.508283858406244
scaffold4	3037175	PC9	37.0741767883301	20.594698492720102
scaffold4	3037190	PC9	37.8296737670898	20.98205538014161
scaffold4	3037325	PC9	40.0870246887207	22.138383483296053
scaffold4	3037366	PC9	44.7639198303223	24.5296634908571
scaffold4	3037538	PC9	35.7488250732422	19.91470598202837
scaffold4	3037676	PC9	32.6431846618652	18.318783249490934
scaffold4	3037698	PC9	37.2926940917969	20.70675534442352
scaffold4	3037743	PC9	47.3907012939453	25.87044408950624
scaffold4	3037928	PC9	37.1449394226074	20.630987744724997
scaffold4	3037955	PC9	33.0441093444824	18.52502412558075
scaffold4	3038253	PC9	31.8093433380127	17.889625307178928
scaffold4	3038383	PC9	28.0024089813232	15.926116525507704
scaffold4	3038474	PC9	26.9880466461182	15.401634624008068
scaffold4	3038485	PC9	27.0719146728516	15.445022115780763
scaffold4	3038495	PC9	25.9892501831055	14.88459200174775
scaffold4	3038527	PC9	29.9045810699463	16.908107814293164
scaffold4	3038539	PC9	29.9185199737549	16.91529679865748
scaffold4	3038604	PC9	34.263614654541	19.151952397776014
scaffold4	3038613	PC9	41.9237785339355	23.07818127684902
scaffold4	3038705	PC9	29.2755184173584	16.583566805541498
scaffold4	3038742	PC9	28.4546279907227	16.15974920638256
scaffold4	3038758	PC9	28.2650356292725	16.061812779654545
scaffold4	3038764	PC9	26.4655933380127	15.131256631804739
scaffold4	3038997	PC9	39.5540809631348	21.86552016006275
scaffold4	3039594	PC9	37.2294311523438	20.674315413556677
scaffold4	3039853	PC9	30.3896713256836	17.15823655570408
scaffold4	3040039	PC9	34.4823951721191	19.26436229587953
scaffold4	3040076	PC9	35.3774261474609	19.72404399361699
scaffold4	3040079	PC9	34.7021408081055	19.377249757459445
scaffold4	3040116	PC9	39.4055328369141	21.7894496091885
scaffold4	3040120	PC9	37.9695434570312	21.053748900269916
scaffold4	3040142	PC9	37.6274223327637	20.878375534317986
scaffold4	3040199	PC9	26.8166599273682	15.312957762541133
scaffold4	3040220	PC9	27.2554893493652	15.539976154186581
scaffold4	3040283	PC9	27.353759765625	15.590798297712073
scaffold4	3040342	PC9	29.5830669403076	16.742259954317177
scaffold4	3040398	PC9	26.9622230529785	15.388274433882783
